Id,Name,Account.Name,Account.CreatedDate,Account.CreatedBy.Name,Account.LastModifiedBy.Name,Account.LastModifiedDate,AccountId,StageName,Close_Stage_Main_Reason__c,CurrencyIsoCode,Revenue__c,Fee_Revenue__c,CreatedBy.Name,CreatedDate,LastModifiedBy.Name,LastModifiedDate
0065a0000140HWyAAM,New Facility,Ruggable LLC,2022-05-17T08:58:46.000+0000,Angel Pereira,IDQ USER,2022-05-26T06:31:37.000+0000,0015a000032XOfYAAW,Settled,,USD,61000,0,Data Migration AMPDS,2021-06-08T17:57:42.000+0000,Data Migration AMPDS,2022-05-24T11:21:20.000+0000
0065a00001408c6AAA,GREWE Ongoing Services,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,43200,0,Data Migration AMPDS,2021-05-18T21:12:04.000+0000,Data Migration AMPDS,2022-05-22T20:32:30.000+0000
0065a0000140MweAAE,Amex SEA 2.0 Design Develop,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Lost,,USD,10000,0,Data Migration AMPDS,2020-04-29T14:32:45.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwfAAE,LAS Barricade Design & Production Files,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Lost,,USD,8000,0,Data Migration AMPDS,2020-08-13T21:17:54.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwgAAE,Amex Prod Files - Den,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,24500,0,Data Migration AMPDS,2020-04-29T14:30:34.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwhAAE,THE CENTURION LOUNGE: RE-OPENING SIGNAGE QR CODE UPDATES,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Proposal,,USD,3200,0,Data Migration AMPDS,2020-09-25T18:28:34.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwiAAE,Amex - Production Files - JFK,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,7500,0,Data Migration AMPDS,2020-04-29T14:31:45.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwjAAE,Amex Production Files-LHR,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,4500,0,Data Migration AMPDS,2020-04-29T14:31:04.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwkAAE,Amex Production Files-LAS,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,7500,0,Data Migration AMPDS,2020-06-17T22:02:35.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwlAAE,Concept Renderings for 7th Floor Partner Briefing Center,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,35000,0,Data Migration AMPDS,2019-10-21T13:32:21.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140Mx2AAE,Amex Sizzle Video - 129 Films Marketing Video,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Proposal,,USD,6000,0,Data Migration AMPDS,2020-02-17T18:50:49.000+0000,Data Migration AMPDS,2022-05-24T09:09:58.000+0000
0065a0000140Mx3AAE,REM Cycle Innovation Sprint,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Proposal,,USD,25000,0,Data Migration AMPDS,2020-02-24T20:47:50.000+0000,Data Migration AMPDS,2022-05-24T09:09:58.000+0000
0065a0000140MziAAE,Centurion Lounge Digital Guidelines 360,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,240000,0,Data Migration AMPDS,2019-05-15T19:41:59.000+0000,Data Migration AMPDS,2022-05-24T09:11:13.000+0000
0065a0000140MzjAAE,Cocktail Cards,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Proposal,,USD,9500,0,Data Migration AMPDS,2021-12-13T20:43:53.000+0000,Data Migration AMPDS,2022-05-24T09:11:13.000+0000
0065a0000140McIAAU,2020 Agency Partnership - Q2-Q4,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Lost,,USD,125000,0,Data Migration AMPDS,2020-04-14T16:11:42.000+0000,Data Migration AMPDS,2022-05-24T08:59:53.000+0000
0065a0000140McmAAE,2020 Agency Partnership,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,555000,0,Data Migration AMPDS,2019-12-20T15:26:28.000+0000,Data Migration AMPDS,2022-05-24T09:00:08.000+0000
0065a0000140MiSAAU,TCL Re-Opening Signage Package,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,5000,0,Data Migration AMPDS,2020-06-02T18:49:23.000+0000,Data Migration AMPDS,2022-05-24T09:02:49.000+0000
0065a0000140MifAAE,TCL Re-Opening Signage Package Hong Kong Airport,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,1800,0,Data Migration AMPDS,2020-07-29T19:55:33.000+0000,Data Migration AMPDS,2022-05-24T09:03:02.000+0000
0065a0000140MmgAAE,2021 Amex Agency Retainer,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,1420000,0,Data Migration AMPDS,2020-12-10T19:35:39.000+0000,Data Migration AMPDS,2022-05-24T09:04:54.000+0000
0065a0000140MnFAAU,Centurion Lounge Survey Sign,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Settled,,USD,1200,0,Data Migration AMPDS,2022-04-29T17:57:48.000+0000,Data Migration AMPDS,2022-05-24T09:05:06.000+0000
0065a0000140MwbAAE,Haven Experience Digital Maintenance - Manual Updates,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Proposal,,USD,2500,0,Data Migration AMPDS,2020-04-29T14:27:07.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
0065a0000140MwcAAE,Monthly Ongoing Support,American Express Company,2022-05-13T07:09:24.000+0000,Marco Huber,Data Migration AMPDS,2022-05-24T09:11:19.000+0000,0015a000032X0bIAAS,Lost,,USD,5000,0,Data Migration AMPDS,2020-04-29T14:23:01.000+0000,Data Migration AMPDS,2022-05-24T09:09:41.000+0000
